2019-02-03 06:01:44.918086 |  | Parsing config file...
2019-02-03 06:01:44.918496 |  | Starting server...
2019-02-03 06:01:44.918630 |  | New session started...
2019-02-03 06:01:50.185975 |  | Starting new session...
2019-02-03 06:01:50.186031 |  | Session has started...
2019-02-03 06:01:50.186061 |  | New session started...
2019-02-03 06:01:50.186128 |  | Sending data to request handler...
2019-02-03 06:01:50.186150 |  | Parsing input data...
2019-02-03 06:01:50.186217 |  | Checking first request line...
2019-02-03 06:01:50.186256 |  | Finished adding heading pairs...
2019-02-03 06:01:50.186335 |  | Writing response...
2019-02-03 06:01:50.186362 |  | Writing response...
2019-02-03 06:01:51.615754 |  | EOF received...
2019-02-03 06:01:51.615884 |  | EOF received...
